sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,109.0525,28.2109,2018-04-05,Hunan,414.19,87.82,14.24,1004.76,178.25,73.97,-2.37,5.04,261.79,0.208,0.736,0.973,17.83,9.18,61.74,974.21
HN_0001,109.9007,25.6213,2018-04-05,Hunan,414.74,65.11,17.3,1006.2,178.96,59.86,0.48,4.29,282.94,0.126,0.729,0.721,12.19,8.3,62.34,924.53
HN_0002,109.6284,27.2923,2018-04-15,Hunan,413.85,48.24,16.65,1004.55,158.44,74.52,0.52,2.31,282.37,0.227,0.691,0.656,16.24,9.77,68.76,325.63
HN_0003,113.4012,27.7549,2018-04-17,Hunan,419.94,76.38,16.55,1015.88,173.6,66.61,8.43,5.07,259.23,0.293,0.593,0.854,16.49,8.89,63.02,106.98
HN_0004,109.6795,28.5384,2018-04-13,Hunan,417.87,59.09,12.55,1022.98,172.2,57.97,9.52,-1.57,276.01,0.28,0.694,0.887,17.59,6.11,65.71,218.31
HN_0005,111.3865,25.3022,2018-04-10,Hunan,413.69,45.81,15.34,1021.55,147.58,73.55,5.95,-5.57,267.42,0.256,0.673,0.921,15.95,7.04,64.94,355.27
HN_0006,113.8934,25.0223,2018-04-30,Hunan,416.23,79.63,12.75,1019.64,150.22,62.52,4.78,-5.59,280.69,0.226,0.621,0.829,15.95,9.88,66.52,170.54
HN_0007,111.8762,29.8072,2018-04-20,Hunan,418.93,60.58,17.74,1003.91,164.27,70.07,4.41,-3.21,269.26,0.131,0.619,0.808,14.76,8.53,64.31,223.09
HN_0008,112.1157,29.6338,2018-04-25,Hunan,415.54,65.97,15.36,1015.16,175.57,75.06,-6.13,3.18,239.34,0.221,0.583,0.758,16.97,6.06,68.54,696.54
HN_0009,113.6451,28.3357,2018-04-15,Hunan,418.7,52.33,16.74,999.49,182.69,73.08,9.08,5.76,238.39,0.272,0.588,0.699,17.53,9.21,59.22,751.92
HN_0010,112.908,26.8302,2018-04-16,Hunan,412.7,71.55,16.39,1016.98,171.28,56.23,3.53,0.17,252.9,0.297,0.609,0.971,15.82,6.08,65.36,713.55
HN_0011,109.4718,28.7843,2018-04-09,Hunan,416.0,39.76,16.78,1005.8,170.61,65.06,4.95,1.47,255.58,0.275,0.599,0.867,16.68,9.07,67.27,806.46
HN_0012,108.8948,24.89,2018-04-17,Hunan,414.23,85.55,17.93,1014.48,176.08,71.9,-4.47,4.43,244.22,0.288,0.657,0.933,12.98,7.33,67.57,848.6
HN_0013,110.5715,28.913,2018-04-21,Hunan,415.25,71.63,13.76,1001.34,148.13,71.89,-4.56,1.06,277.17,0.252,0.598,0.735,12.05,8.94,74.37,281.53
HN_0014,114.1421,29.2885,2018-04-09,Hunan,413.51,66.75,16.5,1015.09,149.73,57.48,-2.38,-3.27,259.75,0.117,0.571,0.943,16.5,8.86,72.58,317.35
HN_0015,111.0866,27.2478,2018-04-30,Hunan,418.69,29.7,13.98,997.3,170.88,63.24,-2.58,-5.95,251.42,0.229,0.709,0.973,17.96,6.73,68.07,366.8
HN_0016,112.9716,28.6646,2018-04-15,Hunan,418.53,82.06,16.06,1002.67,155.92,57.44,5.72,4.7,253.45,0.27,0.72,0.63,17.24,9.25,62.12,778.95
HN_0017,113.328,29.6407,2018-04-25,Hunan,413.96,66.47,16.78,1017.92,152.81,67.65,1.88,-5.3,296.25,0.199,0.601,0.69,13.72,8.65,65.62,763.0
HN_0018,111.0017,25.5564,2018-04-21,Hunan,416.42,42.76,12.08,1010.81,180.75,61.17,5.27,0.32,249.29,0.114,0.73,0.776,17.63,6.78,60.56,550.0
HN_0019,111.4584,27.8749,2018-04-13,Hunan,420.48,54.83,13.24,1017.01,160.07,65.69,1.68,2.2,290.46,0.174,0.72,0.962,16.37,7.52,63.78,130.96
HN_0020,111.3528,26.458,2018-04-23,Hunan,412.88,57.37,15.58,998.38,177.02,68.19,-4.24,3.14,258.72,0.107,0.595,0.838,12.9,7.08,68.83,297.25
HN_0021,110.8959,26.3317,2018-04-06,Hunan,413.24,33.64,12.75,1017.87,153.14,61.95,-0.6,-0.86,279.27,0.215,0.742,0.842,17.18,8.71,69.84,983.44
HN_0022,110.983,27.226,2018-04-03,Hunan,418.09,78.34,13.68,1001.28,182.86,67.98,5.78,-5.83,260.66,0.147,0.676,0.867,17.79,6.69,66.83,427.23
HN_0023,112.117,25.4024,2018-04-20,Hunan,418.76,83.55,12.41,1014.58,177.25,64.76,-4.74,-1.12,272.45,0.263,0.636,0.948,17.2,6.82,63.43,598.53
HN_0024,109.0116,28.7757,2018-04-29,Hunan,415.1,30.85,16.86,1008.62,157.46,63.49,5.37,3.76,275.97,0.184,0.649,0.603,12.65,9.9,67.43,84.36
HN_0025,110.7129,28.4182,2018-04-04,Hunan,417.54,38.74,15.55,1002.71,152.19,64.5,-5.36,-0.48,286.06,0.292,0.73,0.938,15.18,9.11,64.22,735.63
HN_0026,109.2646,25.8057,2018-04-28,Hunan,418.24,59.26,16.18,1008.64,167.63,56.3,-5.91,-1.36,294.93,0.179,0.655,0.798,16.68,7.2,73.56,250.25
