sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,111.9923,24.8476,2018-11-11,Hunan,412.19,60.35,6.66,1021.61,69.62,46.94,1.28,-2.27,155.56,0.368,0.498,0.626,20.08,10.02,46.43,654.06
HN_0001,109.605,27.6786,2018-11-29,Hunan,417.99,44.71,3.39,1017.87,69.85,37.63,-0.67,2.7,188.49,0.266,0.438,0.955,17.99,12.49,38.07,240.63
HN_0002,113.9281,24.6756,2018-11-22,Hunan,415.14,28.8,5.07,1011.13,65.35,42.77,-6.17,4.26,193.36,0.323,0.303,0.755,21.28,8.75,44.75,559.25
HN_0003,113.1952,24.8997,2018-11-03,Hunan,416.94,66.82,6.57,1002.71,73.42,32.43,-5.83,-3.53,183.44,0.25,0.304,0.988,17.03,11.94,40.71,266.4
HN_0004,108.8161,30.0463,2018-11-06,Hunan,412.8,27.96,6.88,1011.68,86.85,39.57,-3.28,-5.23,184.77,0.302,0.466,0.694,16.9,10.42,46.81,843.44
HN_0005,109.2354,27.8097,2018-11-14,Hunan,416.62,51.67,6.28,1012.12,72.31,41.84,-8.16,-1.48,187.06,0.324,0.459,0.923,21.8,11.17,44.1,185.43
HN_0006,110.1002,27.382,2018-11-07,Hunan,411.67,26.36,7.46,1022.0,76.22,42.31,2.79,2.95,182.63,0.178,0.33,0.641,16.59,12.13,40.49,650.38
HN_0007,111.7257,29.7229,2018-11-12,Hunan,412.01,17.55,4.59,1008.6,78.26,37.4,0.01,0.1,157.8,0.227,0.399,0.91,20.94,10.5,38.97,227.12
HN_0008,112.6972,29.8064,2018-11-25,Hunan,410.95,59.16,5.29,1000.54,99.46,33.07,-1.94,1.47,198.88,0.313,0.306,0.671,19.19,12.07,43.05,118.45
HN_0009,112.9763,26.3038,2018-11-16,Hunan,414.45,21.67,2.71,1024.83,69.32,34.62,6.82,0.3,168.33,0.188,0.457,0.892,17.38,9.49,41.77,520.47
HN_0010,110.4795,26.1777,2018-11-17,Hunan,414.09,61.98,4.88,1003.03,88.38,31.82,-6.24,2.13,207.93,0.28,0.416,0.629,20.71,8.52,48.77,702.75
HN_0011,113.3891,26.9382,2018-11-04,Hunan,416.46,40.49,6.87,1005.84,90.5,41.87,-7.66,-3.4,190.08,0.262,0.321,0.869,19.14,12.18,41.63,609.26
HN_0012,109.8029,28.3447,2018-11-30,Hunan,411.34,73.5,4.85,1021.57,67.08,34.39,-6.98,-0.99,178.05,0.339,0.356,0.732,17.69,8.64,44.44,756.56
HN_0013,110.8499,29.7971,2018-11-05,Hunan,412.98,26.18,3.38,997.12,74.45,31.08,-7.25,-2.8,182.02,0.28,0.496,0.704,20.73,11.63,39.54,524.86
HN_0014,111.1973,26.147,2018-11-22,Hunan,412.42,31.97,2.94,1016.1,92.37,48.63,-8.67,4.91,169.21,0.212,0.462,0.886,16.34,11.19,47.69,921.19
HN_0015,112.0228,27.0555,2018-11-23,Hunan,413.92,41.64,7.69,1008.39,90.36,43.86,-1.93,2.17,198.81,0.191,0.329,0.764,20.59,12.04,51.97,78.42
HN_0016,112.0202,27.3624,2018-11-20,Hunan,416.01,71.78,6.5,1008.89,94.67,34.61,4.08,-2.27,171.43,0.208,0.319,0.914,16.75,8.97,44.83,318.69
HN_0017,114.0345,25.7002,2018-11-19,Hunan,411.21,60.64,4.17,1023.88,70.65,38.09,-8.33,-2.56,176.74,0.288,0.491,0.62,21.72,9.39,37.94,669.37
HN_0018,109.5028,29.8782,2018-11-25,Hunan,410.8,63.2,6.67,1020.72,88.4,30.95,-4.48,5.56,204.75,0.189,0.335,0.969,16.68,11.86,40.09,765.09
HN_0019,109.9307,29.4579,2018-11-10,Hunan,412.27,57.56,3.18,1007.09,65.58,37.11,-7.54,-2.23,172.6,0.23,0.445,0.836,16.41,9.34,46.51,109.87
HN_0020,113.2,25.3284,2018-11-15,Hunan,415.89,43.88,6.62,1022.43,60.36,47.56,6.54,5.54,173.14,0.177,0.416,0.716,21.11,9.47,50.91,728.39
HN_0021,112.7381,28.9933,2018-11-07,Hunan,413.86,57.0,4.38,1019.57,61.81,43.7,-3.22,-5.26,158.98,0.246,0.457,0.992,20.59,11.17,51.19,131.02
HN_0022,111.305,24.7786,2018-11-08,Hunan,415.39,44.55,6.91,1003.11,83.56,44.36,-6.76,1.24,206.05,0.329,0.35,0.844,17.88,10.4,44.65,545.28
HN_0023,111.7783,26.9824,2018-11-23,Hunan,417.29,28.6,2.12,1020.37,60.11,43.92,4.65,0.83,190.91,0.279,0.394,0.741,18.71,9.92,50.0,771.66
HN_0024,109.0007,29.9521,2018-11-08,Hunan,412.56,64.13,5.13,1014.17,62.69,40.24,-5.54,-5.13,165.86,0.19,0.489,0.903,19.57,8.69,37.64,933.23
HN_0025,113.0749,28.3995,2018-11-01,Hunan,417.19,60.29,2.24,1024.83,84.2,43.29,-3.67,-2.8,206.99,0.223,0.47,0.929,17.5,12.17,46.7,470.09
HN_0026,108.9407,28.0006,2018-11-02,Hunan,411.55,15.92,4.08,1023.54,75.51,45.51,4.85,-4.54,156.17,0.325,0.342,0.63,16.05,10.13,42.19,488.97
HN_0027,112.4709,28.6701,2018-11-06,Hunan,416.65,51.15,4.93,995.64,71.68,41.11,4.77,-4.25,161.02,0.296,0.324,0.6,16.96,12.16,52.81,884.05
HN_0028,113.0167,29.6168,2018-11-30,Hunan,413.44,50.69,5.18,1003.89,90.83,48.44,-2.61,0.11,205.37,0.313,0.497,0.784,17.16,9.87,51.11,635.96
HN_0029,112.1524,27.3736,2018-11-24,Hunan,414.21,22.99,5.15,1021.01,98.24,33.38,-1.82,-2.62,158.97,0.283,0.486,0.979,18.93,11.36,49.89,518.67
HN_0030,111.9719,27.2978,2018-11-06,Hunan,417.86,37.16,6.87,998.16,85.23,36.62,-6.02,-0.35,151.43,0.261,0.359,0.658,17.62,12.05,44.4,813.18
HN_0031,110.9175,28.8039,2018-11-06,Hunan,413.98,22.86,7.32,1021.58,75.11,33.81,-3.78,1.68,188.47,0.259,0.472,0.73,17.44,10.25,47.65,762.61
HN_0032,112.1103,28.0361,2018-11-10,Hunan,415.62,51.85,5.23,1001.97,99.87,30.61,-2.64,4.22,191.4,0.319,0.444,0.661,19.41,10.16,50.65,920.92
HN_0033,113.0991,24.6024,2018-11-13,Hunan,412.94,20.48,7.02,1018.91,91.43,44.7,6.38,-4.75,153.2,0.317,0.388,0.631,17.54,10.98,46.21,317.4
HN_0034,113.3589,26.8741,2018-11-18,Hunan,414.11,26.42,7.89,1006.62,89.24,40.68,-8.12,4.94,167.14,0.328,0.339,0.678,17.39,12.0,37.63,384.93
HN_0035,111.7771,28.9302,2018-11-24,Hunan,410.78,62.23,6.8,1006.35,83.92,49.96,2.58,3.71,151.72,0.355,0.457,0.721,17.73,10.4,50.81,192.06
HN_0036,110.727,29.5372,2018-11-03,Hunan,411.77,54.72,3.35,1009.85,87.63,48.96,0.12,0.5,200.23,0.323,0.343,0.992,21.98,8.82,39.58,462.6
HN_0037,111.7482,26.8564,2018-11-25,Hunan,415.03,55.22,5.75,1011.33,96.63,32.22,-3.07,-4.58,170.54,0.322,0.356,0.677,16.79,8.91,48.42,97.02
HN_0038,112.4519,28.6996,2018-11-01,Hunan,417.63,73.85,6.54,1009.77,83.06,49.53,-2.46,-1.62,201.56,0.364,0.302,0.944,20.79,10.21,44.54,533.59
HN_0039,114.0545,25.5777,2018-11-10,Hunan,415.0,55.93,5.77,1015.46,65.59,39.04,0.56,-2.31,153.53,0.357,0.404,0.97,19.83,9.12,41.8,468.94
HN_0040,109.48,29.1625,2018-11-08,Hunan,413.52,62.66,7.93,1023.09,86.47,32.37,-4.07,-4.95,158.44,0.32,0.309,0.995,16.54,10.15,37.81,948.85
HN_0041,113.4254,28.4706,2018-11-30,Hunan,413.53,15.79,7.7,998.1,79.84,40.05,-3.63,-5.13,201.21,0.283,0.372,0.839,16.42,8.89,52.42,343.14
HN_0042,109.8562,29.1694,2018-11-23,Hunan,416.2,52.89,2.32,1007.06,78.61,30.3,5.73,5.01,168.21,0.21,0.431,0.715,20.76,9.0,50.33,633.8
HN_0043,111.5312,25.3879,2018-11-18,Hunan,411.9,50.11,3.56,1020.71,65.37,47.25,-8.37,5.85,179.54,0.324,0.461,0.767,21.07,9.26,38.54,62.18
HN_0044,113.9683,27.7393,2018-11-13,Hunan,414.7,60.67,4.1,1005.2,65.58,31.26,0.29,-1.86,165.13,0.263,0.448,0.831,21.23,9.12,51.78,655.7
HN_0045,109.3988,28.8048,2018-11-05,Hunan,418.22,40.66,5.84,1008.44,67.89,47.4,-6.43,5.64,162.99,0.205,0.497,0.932,18.24,9.21,48.91,473.9
HN_0046,108.9135,29.6442,2018-11-17,Hunan,417.58,73.7,3.56,1017.43,86.19,30.29,3.16,-1.77,197.85,0.196,0.475,0.749,19.34,9.91,40.84,573.57
HN_0047,114.0539,25.78,2018-11-29,Hunan,413.14,25.86,7.04,1010.35,65.04,37.5,0.44,4.38,185.89,0.205,0.356,0.863,18.84,8.92,48.57,736.4
HN_0048,112.8499,28.8961,2018-11-09,Hunan,415.35,34.31,6.03,1019.14,70.05,30.31,4.02,0.32,170.6,0.319,0.337,0.733,20.95,10.11,42.03,393.7
HN_0049,109.1175,29.952,2018-11-17,Hunan,410.92,19.05,2.65,1023.86,71.35,37.5,4.28,1.09,200.08,0.299,0.324,0.751,16.68,11.9,47.14,336.81
HN_0050,111.0881,27.4096,2018-11-08,Hunan,415.46,57.42,5.96,997.35,97.7,43.47,-3.13,-5.46,178.59,0.341,0.329,0.784,21.77,10.63,41.59,77.57
HN_0051,109.5887,26.5191,2018-11-28,Hunan,415.34,18.31,2.81,1024.01,72.89,48.96,0.6,-2.24,162.3,0.311,0.5,0.924,18.82,10.91,51.71,342.83
