sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,109.4015,30.0279,2020-10-10,Hunan,417.24,56.64,12.09,1002.44,64.83,45.94,1.3,0.44,171.68,0.389,0.426,0.962,19.37,12.08,40.64,288.24
HN_0001,114.1032,26.1141,2020-10-15,Hunan,411.63,61.03,13.55,1020.07,95.62,42.21,-8.56,1.6,164.56,0.387,0.399,0.671,24.55,11.24,40.86,932.98
HN_0002,113.7764,27.1293,2020-10-03,Hunan,419.05,63.31,17.43,1012.4,61.5,41.73,1.09,1.58,180.96,0.232,0.335,0.916,19.94,11.54,46.91,914.02
HN_0003,114.0436,25.9997,2020-10-08,Hunan,412.49,49.99,15.85,1003.18,98.71,45.8,-8.72,-0.51,157.71,0.246,0.417,0.758,19.14,11.1,47.29,192.65
HN_0004,112.5797,29.0019,2020-10-23,Hunan,418.14,56.08,13.51,1020.2,67.6,34.09,5.89,0.76,183.22,0.232,0.317,0.904,19.93,13.24,43.41,689.77
HN_0005,109.0203,28.5941,2020-10-11,Hunan,418.42,65.03,16.48,999.53,92.84,36.01,1.63,-4.97,176.9,0.29,0.41,0.918,23.09,13.3,40.45,735.76
HN_0006,109.1003,27.487,2020-10-13,Hunan,417.66,29.98,13.93,1004.49,91.14,30.91,6.1,-2.02,160.53,0.303,0.472,0.848,20.65,13.53,47.27,149.18
HN_0007,109.8344,25.855,2020-10-15,Hunan,412.14,69.79,14.44,1000.6,66.31,32.85,5.16,5.92,168.63,0.275,0.307,0.745,22.61,12.06,43.93,829.29
HN_0008,111.557,30.0354,2020-10-18,Hunan,413.61,27.19,14.36,1017.87,90.61,49.94,2.37,-0.02,167.12,0.388,0.475,0.73,24.05,10.93,49.15,491.54
HN_0009,110.6775,28.4157,2020-10-22,Hunan,414.13,69.89,15.31,1007.22,78.46,35.64,-1.95,0.69,195.49,0.424,0.33,0.66,20.5,13.15,41.86,927.62
HN_0010,110.2284,26.9336,2020-10-02,Hunan,415.3,36.12,15.88,1023.11,65.06,34.63,-9.37,-1.97,187.92,0.372,0.341,0.78,23.1,13.42,43.52,792.3
HN_0011,112.5398,28.5697,2020-10-30,Hunan,417.98,47.72,12.34,998.71,68.15,36.89,-0.99,0.06,161.01,0.379,0.345,0.867,20.97,13.53,50.64,961.66
HN_0012,109.871,29.1105,2020-10-29,Hunan,418.87,56.24,14.87,1017.45,83.42,48.11,-6.38,-0.35,199.49,0.236,0.376,0.887,24.7,13.06,42.07,549.23
HN_0013,110.7176,27.4431,2020-10-06,Hunan,413.56,30.63,14.81,1022.18,64.64,31.26,1.79,3.58,203.05,0.398,0.4,0.947,24.53,12.69,49.11,412.7
HN_0014,111.1833,27.1799,2020-10-24,Hunan,414.73,16.57,16.62,1024.23,91.67,38.45,-7.37,4.84,183.67,0.254,0.349,0.809,19.31,13.71,47.9,879.24
HN_0015,113.0399,25.4788,2020-10-18,Hunan,413.78,33.17,13.2,1002.76,85.1,43.39,-1.56,1.0,161.6,0.412,0.479,0.727,24.56,11.03,48.66,471.84
