sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,112.002,26.1856,2020-06-25,Hunan,408.4,54.17,26.02,1021.0,138.88,86.94,3.94,-1.1,266.68,0.307,0.712,0.669,11.61,3.27,90.32,115.7
HN_0001,112.3995,24.6253,2020-06-01,Hunan,406.6,50.4,27.04,1014.55,171.86,78.3,-1.2,3.0,253.75,0.453,0.719,0.79,9.2,3.7,76.19,684.4
HN_0002,112.1212,24.7351,2020-06-10,Hunan,407.5,70.97,32.16,1015.73,171.63,78.73,4.72,-5.52,297.21,0.384,0.695,0.457,12.97,3.54,83.39,193.43
HN_0003,113.4503,29.5055,2020-06-21,Hunan,409.48,26.49,34.33,1013.37,163.02,68.49,1.39,2.21,269.15,0.325,0.722,0.62,8.09,6.36,71.11,381.68
HN_0004,110.5154,27.9001,2020-06-15,Hunan,406.44,56.81,34.44,1023.17,151.05,90.57,-2.81,5.78,292.11,0.49,0.642,0.708,9.18,4.83,72.12,274.79
HN_0005,109.2581,27.9797,2020-06-27,Hunan,407.03,30.78,28.33,1015.71,152.14,81.57,-3.42,3.77,275.46,0.319,0.629,0.735,12.8,4.9,76.58,207.09
HN_0006,111.1571,29.9573,2020-06-03,Hunan,407.3,47.9,33.09,996.52,125.94,82.82,4.78,-0.84,308.46,0.41,0.692,0.417,11.31,3.42,86.19,346.17
HN_0007,111.5545,27.5388,2020-06-30,Hunan,406.18,58.91,30.57,1011.08,163.87,93.05,-1.9,0.48,291.51,0.362,0.789,0.565,10.9,6.36,86.53,665.01
HN_0008,114.095,26.9948,2020-06-29,Hunan,407.81,44.82,31.62,1023.87,158.32,72.36,-7.0,4.58,267.73,0.282,0.73,0.498,10.66,4.87,74.23,786.5
HN_0009,108.8012,27.9756,2020-06-14,Hunan,406.16,25.94,25.1,997.63,147.34,87.68,-2.86,-0.62,256.55,0.55,0.684,0.479,10.69,4.64,88.48,287.27
HN_0010,110.7281,30.0871,2020-06-15,Hunan,410.64,59.66,29.88,1014.02,132.46,80.32,-1.7,-0.53,300.94,0.326,0.724,0.627,10.74,4.83,76.82,768.22
HN_0011,112.6018,25.5764,2020-06-10,Hunan,409.72,71.78,29.55,1023.41,178.09,84.95,-4.81,-4.79,242.5,0.299,0.69,0.786,8.42,6.07,69.11,928.18
HN_0012,112.134,30.021,2020-06-30,Hunan,406.89,66.95,28.81,1009.61,136.08,89.19,2.71,-2.47,280.26,0.298,0.781,0.402,9.02,3.54,79.22,332.28
HN_0013,112.3173,26.7326,2020-06-15,Hunan,405.49,20.31,29.8,1010.87,166.75,78.12,3.35,3.96,301.3,0.371,0.741,0.539,10.96,4.76,83.16,763.56
HN_0014,109.6042,25.0235,2020-06-27,Hunan,407.69,69.11,26.63,998.34,157.21,66.19,-7.35,-0.5,258.72,0.443,0.65,0.417,9.35,6.62,89.64,90.94
HN_0015,113.406,25.2816,2020-06-16,Hunan,403.81,38.58,33.55,1007.61,146.49,93.34,-0.94,1.25,316.64,0.369,0.633,0.761,9.68,5.04,85.43,375.56
HN_0016,113.0136,26.6215,2020-06-05,Hunan,404.86,27.97,28.47,1002.4,150.27,94.91,-1.94,1.26,314.45,0.355,0.654,0.557,12.61,3.74,91.11,612.58
HN_0017,111.5955,24.9625,2020-06-06,Hunan,408.85,51.83,29.53,1008.8,125.43,92.87,-6.26,1.07,301.98,0.445,0.697,0.426,12.42,6.44,73.24,996.48
HN_0018,113.7476,29.148,2020-06-22,Hunan,410.86,49.4,29.48,1006.57,161.79,78.66,2.97,4.98,244.37,0.444,0.63,0.631,9.28,6.25,68.58,426.88
HN_0019,109.6842,25.4053,2020-06-27,Hunan,411.14,33.63,27.58,1003.94,173.21,72.87,6.36,-5.26,304.85,0.27,0.725,0.621,10.06,5.87,94.15,358.04
HN_0020,113.1441,25.6506,2020-06-22,Hunan,405.69,48.57,33.84,1006.11,126.9,84.76,4.2,1.16,244.35,0.303,0.621,0.594,11.34,3.5,83.87,144.55
HN_0021,110.2243,27.5482,2020-06-02,Hunan,409.08,47.43,34.56,1021.46,160.9,81.26,-6.25,-0.21,266.9,0.528,0.667,0.541,9.68,3.97,78.74,132.14
HN_0022,111.8877,26.384,2020-06-25,Hunan,406.7,68.97,28.08,1010.2,136.53,65.02,-1.04,4.62,258.86,0.467,0.661,0.638,7.48,4.85,90.72,557.95
HN_0023,112.9489,24.775,2020-06-19,Hunan,403.32,71.75,33.67,1018.24,133.84,94.38,6.0,-0.12,243.24,0.535,0.721,0.564,7.14,6.46,75.47,77.34
HN_0024,112.5804,24.7848,2020-06-01,Hunan,409.75,20.16,29.58,1019.34,135.37,87.84,-0.15,-2.39,266.33,0.262,0.76,0.497,9.67,6.45,67.35,403.73
HN_0025,110.7845,26.0972,2020-06-21,Hunan,402.99,63.0,27.97,1013.81,141.66,74.24,1.11,-5.37,283.67,0.397,0.664,0.628,11.65,5.15,78.92,460.86
HN_0026,113.1097,29.1333,2020-06-30,Hunan,408.25,49.05,31.5,1018.4,171.8,68.41,-7.5,5.55,305.6,0.408,0.683,0.666,9.65,6.71,65.57,411.82
HN_0027,114.0884,27.8673,2020-06-27,Hunan,406.3,24.11,29.53,1013.8,125.97,77.88,-0.51,0.29,272.62,0.332,0.651,0.683,8.2,4.44,74.36,262.0
HN_0028,113.218,27.8669,2020-06-27,Hunan,409.53,62.08,30.65,1002.93,120.14,78.06,-5.93,4.75,314.81,0.265,0.713,0.568,10.55,6.1,69.8,216.75
HN_0029,112.9704,27.3372,2020-06-11,Hunan,405.32,67.1,26.31,1000.58,160.38,74.11,-0.08,-2.38,289.13,0.388,0.691,0.604,11.07,6.61,86.85,488.82
HN_0030,113.5248,25.846,2020-06-04,Hunan,410.82,66.82,25.29,995.23,160.74,94.42,-6.59,-5.22,294.25,0.395,0.728,0.54,10.55,6.79,74.44,437.54
HN_0031,111.206,26.6389,2020-06-12,Hunan,407.52,67.62,31.76,1017.71,136.79,75.38,-3.37,3.26,318.08,0.483,0.658,0.451,9.01,4.64,86.27,955.19
HN_0032,112.8351,28.4647,2020-06-11,Hunan,405.14,21.27,30.11,1006.47,171.51,78.18,5.21,5.06,315.3,0.454,0.616,0.679,8.14,3.72,93.9,85.74
HN_0033,113.6401,30.005,2020-06-05,Hunan,404.53,60.94,31.32,1013.08,177.43,89.08,-3.13,-0.83,287.61,0.313,0.796,0.752,9.01,5.41,92.76,279.86
HN_0034,112.1172,28.5637,2020-06-29,Hunan,404.92,78.76,26.47,1007.75,133.93,74.31,7.4,-5.78,295.2,0.252,0.746,0.585,8.88,6.85,66.63,110.34
HN_0035,113.5965,27.2564,2020-06-30,Hunan,404.27,26.3,32.51,1012.12,138.35,70.86,-6.4,-3.61,251.78,0.506,0.613,0.703,7.08,4.46,75.74,275.75
HN_0036,109.4367,26.5399,2020-06-13,Hunan,406.85,30.26,31.47,1016.43,142.73,73.53,-6.45,4.02,302.0,0.378,0.74,0.493,11.03,4.64,92.25,409.96
HN_0037,110.0876,29.8334,2020-06-11,Hunan,410.2,63.14,33.58,1018.02,176.0,92.75,-3.54,-0.45,307.93,0.333,0.705,0.566,11.91,6.95,75.55,630.31
HN_0038,110.0324,27.134,2020-06-14,Hunan,404.32,69.15,30.96,1013.83,123.34,68.49,-2.39,-4.01,303.46,0.308,0.675,0.539,8.56,6.75,76.75,691.39
HN_0039,109.7662,24.6113,2020-06-07,Hunan,411.39,45.92,30.11,999.34,133.28,76.79,-5.16,-2.61,257.96,0.524,0.609,0.443,12.06,5.51,86.53,250.92
HN_0040,109.3317,28.3185,2020-06-09,Hunan,404.37,56.93,33.93,1010.33,178.69,90.94,4.11,4.21,311.0,0.354,0.646,0.498,9.0,4.4,76.6,428.94
HN_0041,110.3463,29.3204,2020-06-15,Hunan,410.87,72.06,30.46,1018.19,150.68,77.05,-2.91,-3.27,246.84,0.485,0.746,0.409,12.87,4.44,71.99,88.91
HN_0042,111.1702,25.5204,2020-06-08,Hunan,404.86,30.24,28.23,996.76,162.35,78.25,2.45,-4.92,249.51,0.486,0.703,0.653,7.18,4.29,68.85,697.35
HN_0043,109.5479,28.6344,2020-06-28,Hunan,409.58,49.11,34.3,1006.49,165.35,88.37,2.53,-2.19,246.15,0.547,0.663,0.646,9.23,3.92,70.14,672.92
HN_0044,112.0863,24.7667,2020-06-24,Hunan,409.4,66.15,30.56,1006.4,152.92,82.67,-0.48,2.44,311.13,0.512,0.787,0.71,12.31,3.1,75.75,136.61
HN_0045,110.7605,26.0069,2020-06-08,Hunan,404.59,28.77,31.25,1012.73,149.23,94.81,7.66,4.03,242.75,0.418,0.785,0.622,10.1,3.57,67.89,868.89
HN_0046,112.9903,29.5887,2020-06-01,Hunan,409.15,64.55,26.98,1016.42,166.03,74.54,-4.25,1.36,269.91,0.397,0.743,0.732,8.16,6.08,73.34,603.55
HN_0047,111.7823,28.6305,2020-06-16,Hunan,407.53,74.54,28.27,1010.43,148.41,75.06,-6.45,4.72,297.02,0.53,0.732,0.545,7.6,4.1,66.43,922.13
HN_0048,112.7366,25.5288,2020-06-30,Hunan,402.49,36.46,29.17,1004.79,149.4,84.53,-6.26,1.12,244.36,0.466,0.775,0.4,12.77,4.31,88.83,541.67
HN_0049,111.635,27.9561,2020-06-27,Hunan,405.52,23.27,26.43,1006.66,137.92,93.97,-0.4,-4.97,253.65,0.43,0.628,0.721,7.71,4.13,72.58,359.61
HN_0050,112.3899,29.4094,2020-06-06,Hunan,406.58,72.92,25.05,1009.33,126.33,68.92,-4.18,-1.52,305.51,0.385,0.699,0.649,10.71,4.86,83.53,759.86
HN_0051,112.5922,25.7324,2020-06-26,Hunan,406.74,73.8,27.72,999.5,121.01,82.84,-7.47,-1.94,260.13,0.394,0.63,0.504,11.71,4.53,69.04,354.55
