sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,111.8909,26.3858,2017-07-20,Hunan,404.79,46.99,28.05,1008.31,162.75,87.99,5.85,5.5,313.35,0.37,0.637,0.565,10.16,6.76,89.54,660.57
HN_0001,109.323,27.0509,2017-07-30,Hunan,407.7,66.8,27.86,1000.19,123.7,75.08,2.57,-2.94,275.42,0.481,0.741,0.761,8.66,3.23,92.57,370.85
HN_0002,113.827,29.225,2017-07-07,Hunan,408.29,31.9,27.42,1020.12,131.8,93.94,-0.5,-3.09,313.92,0.538,0.688,0.532,11.3,5.12,86.82,994.68
HN_0003,113.8345,27.6951,2017-07-12,Hunan,405.08,15.42,30.61,1024.06,173.76,79.6,-3.71,2.34,240.29,0.421,0.715,0.543,12.64,3.43,69.2,89.11
HN_0004,110.4017,29.6424,2017-07-21,Hunan,406.73,25.47,31.49,1002.02,160.67,93.26,-4.74,-3.05,279.46,0.432,0.639,0.426,9.31,5.03,68.43,520.39
HN_0005,113.9613,26.3325,2017-07-18,Hunan,403.25,27.94,31.97,1002.1,173.43,68.73,-2.2,5.19,279.94,0.42,0.73,0.77,8.29,5.36,81.8,597.55
HN_0006,110.1065,25.6032,2017-07-07,Hunan,400.08,46.82,25.65,997.18,122.28,86.73,-1.14,5.46,317.57,0.379,0.724,0.601,8.28,6.14,77.32,378.05
HN_0007,109.5821,28.1045,2017-07-06,Hunan,406.59,33.71,28.64,997.09,122.01,66.4,-2.8,5.74,306.8,0.334,0.76,0.698,8.08,4.13,75.64,927.5
HN_0008,112.1353,27.6838,2017-07-04,Hunan,406.66,44.4,30.91,997.75,125.07,85.67,0.88,2.81,265.13,0.447,0.789,0.633,12.02,5.87,80.93,199.4
HN_0009,112.7061,24.8883,2017-07-23,Hunan,408.49,24.07,25.23,1014.09,169.96,82.75,4.26,-5.53,264.31,0.302,0.797,0.669,12.7,5.66,78.76,590.91
HN_0010,109.9434,27.6542,2017-07-27,Hunan,407.66,25.46,27.31,1004.9,138.0,85.29,6.45,-4.08,276.75,0.366,0.719,0.761,11.89,6.53,89.92,251.1
HN_0011,113.9308,26.3545,2017-07-01,Hunan,408.27,49.41,28.78,1024.68,170.19,88.15,-7.46,5.95,259.63,0.35,0.668,0.758,9.19,5.82,72.12,320.12
HN_0012,112.3638,27.3052,2017-07-26,Hunan,401.78,72.81,27.38,1016.95,126.05,81.93,1.29,-2.05,261.54,0.319,0.698,0.789,11.7,4.75,93.34,393.24
HN_0013,112.4159,27.645,2017-07-16,Hunan,400.37,53.36,33.75,1016.14,130.98,77.64,-0.24,5.23,301.98,0.49,0.67,0.538,10.46,4.38,73.47,919.38
HN_0014,109.3191,25.4734,2017-07-05,Hunan,406.69,29.71,33.72,1009.83,166.17,72.17,2.7,4.19,304.15,0.396,0.612,0.573,9.32,5.7,69.25,975.22
HN_0015,109.2374,29.0757,2017-07-24,Hunan,402.34,56.25,30.56,1009.8,143.83,80.71,-2.4,-0.55,291.15,0.304,0.74,0.634,8.34,4.17,79.39,979.83
HN_0016,111.281,24.614,2017-07-24,Hunan,409.74,19.26,34.88,1002.83,123.19,70.62,6.06,1.86,315.65,0.39,0.665,0.698,9.69,4.89,69.74,511.89
