sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,113.3193,27.9887,2018-02-18,Hunan,421.24,86.6,-0.55,1013.52,155.25,24.84,1.3,2.64,88.53,0.103,0.17,1.403,21.56,18.9,31.98,942.99
HN_0001,111.841,28.4023,2018-02-06,Hunan,425.78,48.13,4.01,1024.51,168.94,24.47,7.97,-3.69,94.73,0.126,0.154,0.959,21.74,17.73,40.46,770.23
HN_0002,111.0558,26.3017,2018-02-23,Hunan,427.86,50.09,-4.14,1019.32,175.35,17.18,-0.08,1.05,61.39,0.18,0.155,1.419,24.22,12.66,30.52,188.92
HN_0003,110.591,26.3694,2018-02-02,Hunan,424.46,83.68,-3.74,1003.78,177.44,23.12,-5.3,0.39,61.74,0.167,0.22,1.321,23.64,18.08,36.36,963.53
HN_0004,112.0708,24.8445,2018-02-17,Hunan,426.74,68.29,6.29,1014.22,166.37,16.47,0.81,0.9,78.31,0.149,0.176,1.444,23.86,12.8,36.47,349.1
HN_0005,109.2846,26.0915,2018-02-01,Hunan,424.39,70.55,-2.27,1015.05,154.36,15.05,7.42,0.88,87.63,0.281,0.168,1.336,27.08,15.59,30.05,788.1
HN_0006,109.9305,24.7889,2018-02-27,Hunan,423.93,74.41,6.2,1016.71,149.99,15.26,-4.52,3.12,93.07,0.246,0.157,1.457,21.95,17.39,37.67,76.4
HN_0007,109.6237,25.0963,2018-02-19,Hunan,427.57,29.07,7.0,1014.78,149.42,18.16,8.65,4.64,72.71,0.102,0.201,1.0,22.77,14.55,35.47,612.23
HN_0008,113.4886,26.236,2018-02-05,Hunan,422.1,86.7,-0.29,1008.61,174.91,22.22,-5.56,-3.51,64.13,0.199,0.178,1.227,26.93,15.08,28.79,453.8
HN_0009,112.2561,26.1438,2018-02-22,Hunan,425.37,52.21,8.53,1016.08,163.86,20.12,2.39,3.92,62.96,0.16,0.17,1.423,29.46,15.62,32.35,662.37
HN_0010,110.1243,26.4469,2018-02-04,Hunan,420.62,50.8,-0.49,1019.05,157.49,22.57,2.51,-4.1,60.45,0.111,0.151,1.243,27.98,18.01,39.0,904.03
HN_0011,110.9676,28.0156,2018-02-14,Hunan,426.65,35.72,2.03,1009.14,180.46,21.92,-5.62,-1.8,98.18,0.271,0.24,1.255,22.23,17.14,42.49,518.64
HN_0012,109.7979,27.3498,2018-02-24,Hunan,425.56,65.15,1.31,1024.08,153.18,21.94,9.15,-2.77,100.0,0.11,0.228,1.134,26.57,17.63,30.28,773.32
HN_0013,112.6456,26.6302,2018-02-10,Hunan,425.28,69.93,4.05,1005.78,154.07,23.7,-2.56,-0.85,67.16,0.266,0.203,1.286,28.94,16.6,42.69,174.63
HN_0014,108.8241,28.9374,2018-02-19,Hunan,421.55,69.4,-3.93,1008.79,169.4,21.69,0.42,3.43,84.62,0.168,0.223,0.937,29.77,12.59,38.97,685.39
HN_0015,113.1184,26.3631,2018-02-22,Hunan,427.09,83.21,1.48,1011.31,180.72,20.61,9.63,-5.5,93.72,0.275,0.172,0.965,24.16,14.98,35.06,778.82
HN_0016,110.7506,27.1049,2018-02-14,Hunan,422.44,43.11,-1.82,999.84,166.18,15.66,3.85,-3.78,74.59,0.295,0.232,1.422,28.06,12.61,37.77,630.07
