sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,110.6413,29.3019,2020-03-10,Hunan,418.56,38.45,3.95,1006.4,163.18,60.17,-5.32,1.73,250.28,0.191,0.632,0.868,12.17,7.12,68.43,849.97
HN_0001,112.228,26.4599,2020-03-01,Hunan,420.22,89.28,7.67,1012.67,197.48,64.62,-2.15,5.45,270.23,0.21,0.636,0.972,14.57,8.8,72.67,72.93
HN_0002,109.1694,27.9884,2020-03-01,Hunan,413.57,69.58,2.27,1005.89,189.11,66.46,-2.93,5.54,261.24,0.265,0.627,0.923,16.6,7.73,69.99,411.53
HN_0003,112.8673,26.5617,2020-03-23,Hunan,414.12,64.63,6.36,1023.67,181.97,64.01,3.17,5.49,264.33,0.145,0.712,0.982,14.58,6.73,68.47,992.29
HN_0004,109.2064,27.6243,2020-03-26,Hunan,418.27,58.77,6.66,1023.65,197.83,79.84,9.6,2.84,295.84,0.232,0.777,0.931,15.19,8.99,67.7,186.43
HN_0005,111.3711,28.1832,2020-03-24,Hunan,414.55,46.9,4.36,1000.05,177.77,67.2,9.45,-2.3,286.3,0.279,0.652,0.839,14.65,7.11,68.02,391.82
HN_0006,112.1369,26.8699,2020-03-17,Hunan,416.35,51.36,4.94,1009.73,166.46,75.48,5.56,2.67,262.91,0.23,0.687,0.6,16.37,7.54,74.55,571.71
HN_0007,113.1669,25.0947,2020-03-13,Hunan,420.84,37.16,6.42,998.03,199.57,74.69,-5.72,-5.66,286.58,0.219,0.747,0.829,14.71,6.82,68.85,792.09
HN_0008,112.2456,28.1618,2020-03-22,Hunan,419.21,63.03,7.0,1024.09,174.38,72.75,2.07,-1.57,278.7,0.233,0.777,0.816,15.41,8.63,64.89,803.24
HN_0009,113.7388,26.4944,2020-03-18,Hunan,414.15,59.21,4.29,1023.07,171.28,74.1,-4.0,-0.94,286.23,0.126,0.614,0.603,14.88,9.39,62.93,127.29
HN_0010,108.8441,28.5592,2020-03-08,Hunan,417.56,43.68,3.82,1012.22,176.73,66.43,0.06,-2.78,299.92,0.109,0.734,0.693,17.22,7.76,63.1,571.52
HN_0011,114.123,28.5458,2020-03-30,Hunan,420.42,55.7,5.42,1008.23,187.95,62.5,1.46,-3.9,299.36,0.194,0.686,0.613,14.79,6.52,77.56,199.32
HN_0012,111.1953,26.9116,2020-03-15,Hunan,419.94,35.21,7.37,1024.72,178.55,73.66,4.34,0.57,309.86,0.163,0.735,0.729,14.78,9.34,76.2,215.59
HN_0013,109.0244,29.8753,2020-03-23,Hunan,414.52,60.95,5.18,1019.58,197.93,62.0,5.28,-3.03,268.04,0.216,0.629,0.645,13.72,7.83,71.25,989.17
HN_0014,109.8658,25.2959,2020-03-21,Hunan,421.46,44.29,3.59,1009.85,160.58,65.59,-0.81,-0.07,285.46,0.102,0.751,0.841,14.44,6.61,77.49,945.64
HN_0015,110.2735,29.2166,2020-03-26,Hunan,420.82,74.55,5.56,998.52,194.92,75.76,-3.39,3.72,309.88,0.285,0.709,0.73,12.25,8.75,71.62,222.74
HN_0016,112.4432,28.7669,2020-03-27,Hunan,413.78,79.68,4.71,1005.66,174.66,76.37,9.63,-0.49,273.58,0.294,0.602,0.824,14.68,9.11,73.82,521.76
HN_0017,110.528,27.4357,2020-03-02,Hunan,415.97,60.8,7.28,1013.14,193.17,63.77,4.29,-4.64,282.39,0.244,0.75,0.904,13.58,9.31,66.39,583.37
HN_0018,110.2454,28.3933,2020-03-11,Hunan,414.39,83.76,4.67,1021.48,165.2,72.63,6.76,5.64,302.79,0.29,0.621,0.806,17.34,6.11,75.92,839.47
HN_0019,110.7112,25.243,2020-03-16,Hunan,418.37,42.91,3.43,1003.06,169.05,69.43,-4.86,1.38,298.54,0.165,0.684,0.926,14.99,8.56,64.03,754.42
HN_0020,111.577,26.8819,2020-03-16,Hunan,419.7,33.11,6.68,1023.29,168.42,75.4,0.69,-4.09,266.69,0.134,0.78,0.939,16.77,9.12,66.61,669.86
HN_0021,113.275,25.2969,2020-03-10,Hunan,421.31,42.77,4.08,1010.42,166.05,73.51,-0.72,1.41,282.54,0.106,0.71,0.643,15.89,8.64,69.1,159.06
HN_0022,110.6435,25.4993,2020-03-01,Hunan,419.61,48.07,2.67,1011.7,188.03,77.68,8.86,-4.66,267.37,0.232,0.742,0.936,13.07,8.66,69.94,102.2
HN_0023,110.8607,26.3751,2020-03-10,Hunan,415.41,61.94,7.63,1016.9,195.62,63.74,9.28,2.72,285.79,0.18,0.621,0.623,13.34,8.21,66.34,597.52
HN_0024,109.3816,30.0473,2020-03-05,Hunan,418.73,78.53,3.97,1008.41,171.63,71.79,2.08,-2.77,291.73,0.148,0.648,0.873,16.99,6.77,69.81,948.52
HN_0025,112.5989,26.1972,2020-03-02,Hunan,418.48,73.29,7.36,997.32,178.68,75.11,5.36,3.87,265.34,0.225,0.753,0.866,16.15,7.54,64.63,726.03
HN_0026,109.6952,29.9839,2020-03-07,Hunan,415.37,48.14,5.95,1011.5,174.97,60.96,6.0,-5.71,267.02,0.183,0.789,0.717,17.97,7.72,63.82,592.23
HN_0027,108.8217,28.1257,2020-03-15,Hunan,418.34,77.45,4.8,1019.86,173.81,62.66,2.54,-2.85,290.13,0.251,0.62,0.749,15.0,6.49,64.72,881.8
HN_0028,112.4543,29.797,2020-03-01,Hunan,417.83,37.37,5.44,1020.66,166.74,78.22,4.32,-4.48,253.47,0.23,0.755,0.775,14.76,8.25,63.76,139.78
HN_0029,111.2919,28.789,2020-03-27,Hunan,413.52,61.68,4.64,1014.66,161.24,70.69,7.97,0.72,253.12,0.291,0.739,0.704,15.35,8.12,70.91,108.9
HN_0030,113.0704,25.7774,2020-03-26,Hunan,417.96,82.1,6.35,1006.49,173.66,77.23,5.17,-2.62,281.9,0.194,0.769,0.606,16.29,6.48,63.51,681.44
HN_0031,111.0847,29.6463,2020-03-25,Hunan,417.18,33.65,5.77,1005.48,181.52,63.79,0.63,0.42,267.43,0.144,0.795,0.886,14.87,7.87,72.34,222.59
HN_0032,110.4864,27.9623,2020-03-03,Hunan,418.37,88.4,6.46,1003.55,166.48,64.11,-0.6,5.38,256.83,0.254,0.63,0.796,16.72,6.9,68.44,361.14
HN_0033,113.4777,26.9084,2020-03-23,Hunan,416.34,74.36,6.56,1007.01,160.76,67.85,9.06,4.81,262.2,0.218,0.708,0.886,16.22,8.01,66.11,179.89
HN_0034,112.4664,25.0814,2020-03-31,Hunan,417.27,81.17,6.34,1024.06,186.87,79.38,7.24,-3.6,292.1,0.155,0.625,0.779,14.48,8.23,71.4,900.85
