sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,111.6288,29.9543,2017-08-07,Hunan,404.52,23.49,25.68,1014.26,160.09,75.62,-4.91,-2.84,294.04,0.348,0.634,0.483,8.24,6.95,78.95,776.57
HN_0001,113.4106,27.3975,2017-08-15,Hunan,402.58,60.3,30.61,1014.13,144.05,81.83,-8.56,-5.14,298.23,0.452,0.672,0.489,7.22,5.76,74.71,884.15
HN_0002,111.8154,29.0,2017-08-20,Hunan,409.72,50.42,28.49,1008.44,153.04,87.23,-1.88,4.75,288.23,0.273,0.733,0.748,10.34,4.06,73.83,813.96
HN_0003,112.924,25.0357,2017-08-18,Hunan,406.62,43.36,28.57,1000.73,141.21,80.75,0.64,-2.71,317.25,0.381,0.628,0.781,10.35,6.88,92.98,831.87
HN_0004,111.5952,25.8712,2017-08-26,Hunan,408.24,69.37,33.21,999.08,162.66,67.81,-6.14,0.87,319.6,0.426,0.694,0.622,12.98,4.96,88.44,140.07
HN_0005,109.6168,25.3081,2017-08-01,Hunan,403.28,64.35,25.25,1004.72,165.74,90.89,5.0,3.91,269.61,0.271,0.696,0.683,8.09,6.89,71.1,128.27
HN_0006,112.9971,28.0738,2017-08-14,Hunan,409.83,44.46,34.34,1020.17,165.21,70.7,-5.12,-5.43,305.08,0.51,0.743,0.591,7.72,5.39,80.04,470.25
HN_0007,109.4461,27.9335,2017-08-17,Hunan,403.69,29.76,33.06,1003.19,135.89,76.81,0.82,-4.54,249.86,0.382,0.719,0.66,12.36,6.86,87.69,696.19
HN_0008,112.0195,25.2606,2017-08-26,Hunan,400.63,54.25,29.22,999.45,175.54,72.85,-7.44,-5.7,310.48,0.275,0.607,0.54,9.49,5.82,83.74,408.83
HN_0009,110.2729,24.7791,2017-08-14,Hunan,401.07,64.36,25.92,1000.04,131.67,77.55,1.48,-4.54,290.39,0.412,0.649,0.436,12.07,6.99,83.2,412.39
HN_0010,112.0106,25.8267,2017-08-14,Hunan,409.81,30.51,28.56,999.74,175.77,79.36,2.96,-4.79,300.05,0.447,0.764,0.716,8.32,3.98,76.8,173.92
HN_0011,109.122,26.8738,2017-08-25,Hunan,401.3,53.3,28.08,1004.41,159.7,90.3,-4.8,-2.37,254.37,0.362,0.678,0.433,12.75,3.52,90.13,392.83
HN_0012,111.7286,29.63,2017-08-01,Hunan,404.12,29.04,32.12,1010.88,126.84,85.18,-2.56,0.64,247.3,0.324,0.749,0.404,9.31,6.86,87.19,863.61
HN_0013,111.4547,27.4136,2017-08-19,Hunan,405.82,39.98,32.15,1005.48,139.39,71.16,-0.52,-2.15,281.69,0.385,0.682,0.771,9.78,4.61,67.29,72.1
HN_0014,111.8454,28.4968,2017-08-29,Hunan,402.74,65.63,25.12,1011.88,137.19,83.32,-2.89,-0.02,301.34,0.395,0.768,0.787,7.05,6.48,94.46,427.29
HN_0015,112.2234,26.3648,2017-08-31,Hunan,401.08,16.25,25.94,1012.7,122.5,85.46,4.32,-0.11,296.96,0.354,0.788,0.791,12.44,3.83,91.11,520.92
HN_0016,112.3435,27.7718,2017-08-30,Hunan,407.49,13.82,30.71,1006.51,142.98,65.68,-5.42,5.21,295.85,0.438,0.661,0.591,7.84,6.43,65.39,887.53
HN_0017,110.8171,28.6403,2017-08-14,Hunan,406.8,42.35,29.74,1012.98,121.86,84.99,0.14,-1.36,308.14,0.293,0.666,0.676,11.39,4.72,80.11,494.52
HN_0018,111.6052,28.3535,2017-08-10,Hunan,406.67,46.91,31.18,1022.21,138.27,84.68,-0.5,-3.53,280.42,0.419,0.641,0.458,12.72,3.07,73.98,943.13
